0xa6d9a105163fc67a61f0a4d1d5c4032a1e51501b,35,468924808338169000000000,468924808338169000000000,69,0x96A71fdf600eA5e8E0cc3786e5c781117a39E224,3,468924.8083
0x66f91039549108e595a3936ac634f57f7558ddd9,146,333793315250586000000000,333793315250586000000000,887,0xc46Db5Fe12Cb2e365900c9e4DdDdE4F1A3b4da2c,3,333793.3153
0x825736e7336232cc595c345d049474226fdd154e,173,351524720636363000000000,351524720636363000000000,82,0xBAD5f42E621fDE7F12A64AeF26a406f449052714,3,351524.7206
0x8efea4475ded9a1b41f862cbfc9956a428507315,273,268262623955071000000000,268262623955071000000000,305,0xD69645273442c5dea3fd6cEFAF8aA991A5faD44F,3,268262.624
0x2b4e19f8d24b33937ddf3210a81d6aea54402e2d,278,368591255712443000000000,368591255712443000000000,769,0xf0282E97dca5333C6973e9d4F07f32DF50F6e02A,3,368591.2557
0x982dd304cf5d140b5c1673999ccb4e69dc1e7e53,315,251827314723797000000000,251827314723797000000000,564,0xEc96D109e77002fC1Ad45F9FE00Dc307Fe9B4291,3,251827.3147
0x3060cccd9c0414d5796244311fb3bc75c03b1a53,333,754691001314067000000000,754691001314067000000000,1596,0xb8B03deCAc7F9084f24439604506db9f0A26AC30,3,754691.0013
0xe5fae1a033ad8cb1355e8f19811380afd15b8bba,388,308127495194091000000000,308127495194091000000000,78,0x6E3eB6020f3bF2b4bf814c65b64763fEfdF954e0,3,308127.4952
0xd581e286911bb17f067a826e25305b798d65b1e2,425,4531897943207200000000000,4531897943207200000000000,1633,0x9f132AB89f871f185b066FC5f5c54a445470eEEF,3,4531897.943
0xbf479afb9eb8b74500127e5f32245fe1a66ad6ed,434,500000000000000000000000,4401135406292610000000000,1640,0x5D325193ad47786a5Bda5492c987738dDeAbc2F0,3,500000
0xa4a62f7127c644aaef733029e0d052e411fdafb4,544,419798546967212000000000,419798546967212000000000,81,0xbF355f56c0FFA805E1e9F9f782dfcE3e01098550,3,419798.547
0x13ba3308cf8c3c64659919819499a2711dede8f4,552,500000000000000000000000,500000000000000000000000,990,0xE326B374B087e14046dd47adeB068BBEbcdE2720,3,500000
0x0a83985e4a6e8dae2b67bed4f2d9268f6806ce00,644,306025931138379000000000,306025931138379000000000,1646,0x22d29dc5Ab7ca77380B3C72eDc1760A6161F11ac,3,306025.9311
0x14c0338959d08eeb21cdbc7e1fe0350be87d1fa7,664,7033954230756020000000000,7033954230756020000000000,1795,0x07ab5E74108E516851D52357b51F6DCEC818161c,3,7033954.231
0xbe782ec98ce7135a056e31300a9831fa35d52865,808,472451565248389000000000,472451565248389000000000,188,0x2B37e3818F89B767E71bD4dd64C6953177c157cD,3,472451.5652
0x836e71f16a53577edd2ea377a8ab29a90ae0cdc0,1097,487724065334090000000000,487724065334090000000000,1804,0x80AbbF30E49442f5f26e01195B36edE8809a6326,3,487724.0653
0x10890742a1a20a936132072c20ae77b081486190,1152,5145959724410820000000000,5145959724410820000000000,2039,0xA8D6e5dd1004ee1a12cBda26B6Ebfa9eEC6872d9,3,5145959.724
0xa0bbc65077467317674b4db02f33a6bd986c7d4e,1154,250345869360855000000000,250345869360855000000000,2038,0x04AEbcC4BD654636267C3Db67f7f8a2EDaBC34B1,3,250345.8694
0x07fc27c075a142789f316484abfff9221f0bc1f4,2,173118640908415000000000,173118640908415000000000,1788,0x1e78AeC07AaAc96460BCf98C2849b922F98cD606,2,173118.6409
0x51256ef00c2485f3a40fe1b6e4e779147bcdbb58,16,79982904224647400000000,79982904224647400000000,558,0x9677558fBa3f7da89349a68CA09e36379803b70A,2,79982.90422
0xaae31efb56af2d4da4f8b98aee5f269e03d1fce8,17,110875854331943000000000,110875854331943000000000,724,0x49d573A684Ff5F12d443eB8159ff4c679067db39,2,110875.8543
0x2b01501c2e2e3200e68f1fdc557a10c82bf05626,21,195247427337362000000000,195247427337362000000000,644,0xE73535b1535A6af76765A20506E1fe8409e03b61,2,195247.4273
0x79269c79e84ad6d9ed1b913e1fb30b26c8384629,25,291053785179156000000000,291053785179156000000000,73,0x2afB5CfF63EB98c67eA5b88de612Fd5014b495E3,2,291053.7852
0xf06c79c4fa207df457295d81914ba74a7cac6bbb,28,84766791283727800000000,84766791283727800000000,422,0xAe3178299910E121AA1026fF76470Cb7631C3Dc7,2,84766.79128
0x6ec7b4fec23015ed9daa8dbf0e3573da69e5d36e,49,54522787789291100000000,54522787789291100000000,160,0xA9a017B299c123065302644DD481a2E3C2C5Cc51,2,54522.78779
0x31e5bcad42eb889f8a190cb4292922276959ed58,63,65193903810590800000000,65193903810590800000000,1279,0x85f3a0dDc57F3D734026395aEe0402d61d250A02,2,65193.90381
0x7c9457a775015eee6e098cb1a4ba6cf9b0fdf3c0,83,107639533806048000000000,107639533806048000000000,948,0x6D80275Fbd2837DFAD02eB8C94b2574Ac2FDfc31,2,107639.5338
0x106bf19d7f44dfd1e4d41b0890e568ad7fb5e511,94,73104125863339400000000,73104125863339400000000,685,0x2D7e39931e4E994BAA62C20459418Ff1AB3F2e52,2,73104.12586
0xf3b8869c906f5c185084ab379de0c607f23f4747,96,73239799120777400000000,73239799120777400000000,20,0xa74e110864F053ca1525F31125E6B84927A152cE,2,73239.79912
0x755ce5f31617ded6e41d15cc51d8ff642ce10e9d,193,93462704560293000000000,93462704560293000000000,503,0x764abf48BfbB7266DF0F18E1e459329F2b791C27,2,93462.70456
0x99afc0f1d580f5baccfe9d4f864a1f34aaf192ed,250,170327784104784000000000,170327784104784000000000,697,0xE29cea38D0199F719F57068CDB288c535C43242a,2,170327.7841
0x1bfb00d16514560bb95d4312fdd39553395077af,269,57604372654919700000000,57604372654919700000000,348,0x30B6349bB2E3Bd90E244b2D26e984df08B4f90C2,2,57604.37265
0x25bf2711bcb147b31bf3753f32c6a89a688b3518,297,95458503796515100000000,95458503796515100000000,315,0x5F765B697FB8C10320d94f24776f05f29546C5F9,2,95458.5038
