"claimer","rewardAmount","tokenId"
"0x79af508c9698076bc1c2dfa224f7829e9768b11e","83333333333333344256","11"
"0xe8fb09228d1373f931007ca7894a08344b80901c","100000000000000000000","12"
"0x2fe95ba46d36e6bbc8d3bbc6bf3f18c85c91f3af","10186666666666665967616","13"
"0x7f0019ac3c11c90064940e7c80d32a8ac0988293","943333333333333508096","14"
"0xb8d8bdaa717ba881250390fb2576d136d1a61908","586666666666666754048","15"
"0x7267db34b6072080923f92e626c2fc5da91ff25b","5423333333333333508096","16"
"0x8fa33056d9067ba93bc89a3366aad64952743028","5000000000000000000000","17"
"0xd2f1a5bbfcc1b4490ff5c3548bfbaff1f74af6a6","9596000634416666771456","18"
"0x20e76b9e84e1f77e3b2280e7918d63ca2eda646f","11026666666666668064768","19"
"0xa8e8c5adf3e714c682150d2f81ac8d5bfa2050b0","763333333333333508096","20"
"0xf5dd4d8016a5b99e85259b328521714db5409d45","673333333333333377024","21"
"0x8719c66077e95a6fbc7811446b8c32ee15ac3cd5","3729960740000000114688","22"
"0x60e12cb779cf289bd3b6377faa346946de7fd49b","963333333333333377024","23"
"0x51256ef00c2485f3a40fe1b6e4e779147bcdbb58","12499999999999998951424","24"
"0x5c541e78e4b4b0860a4187816b17b7bdc505cf6f","660000000000000000000","26"
"0x465fe8f2122966769b3d9d1e7391edf0ac08cb43","5732113950000000532480","25"
"0x02d6379c1106cd0df0d577235fb07a60b8b67dbc","12499999999999998951424","28"
"0xd57b37b1b4e94d7f37349ce8336e89f40691cd43","580000000000000000000","27"
"0xee9ca24fb62bfc021e1a46e09e1c1cbecd3341b5","2500000000000000000000","30"
"0x813e372eb82008b31503027aaacddbd5bd228f89","2500000000000000000000","29"
"0x30cca4a5706c21d36c982b58deea5958f5bfb097","596666666666666754048","31"
"0x1516dd7feeff1a84ff620e548ea73d1d58143675","1013333333333333377024","32"
"0x827923799e899a8a66609c99c9d3881e63897ec9","753333333333333377024","33"
"0x53d7753b2eab42302da5ed0f4b2b81529639fd1e","1003333333333333377024","34"
"0x2b01501c2e2e3200e68f1fdc557a10c82bf05626","13396666666666665443328","35"
"0xf12a25fdfc7daa4aacaf8a3263443ff59e4c2067","540000000000000000000","36"
"0xeec0d4e7745059e465ac8bc70c9f934476cb9f4b","1000000000000000000000","37"
"0x5797c04535ec1dcc21483b632878be12bfbf19ee","793333333333333377024","38"
"0xda686c338c63aee0051b7aa89155f249cf85f440","1023333333333333377024","39"
"0x3a1a2ad3b7d17a3a95c139636f4d7906691740fb","1003333333333333377024","40"
"0xecc7bf36690534fe89a317ecf71b0bf8f323ab0b","863333333333333377024","42"
"0xacb17fc73cf202ebe532e107cec195d50dee61dd","10000000000000000000000","44"
"0xbf79a5b35f796d1e6691469a3d2047c35e31fae1","786666666666666754048","41"
"0x2d56f14f7623fa1ab587e06a630e82daa1425631","2500000000000000000000","43"
"0x79269c79e84ad6d9ed1b913e1fb30b26c8384629","13390000000000000524288","45"
"0xe7c2bc18aa6a289590487138dc96f9da971b952d","926666666666666754048","46"
"0xc0a3af1d9643e240a474ccdbfa53b02fcd397acc","1036666666666666754048","47"
"0xf06c79c4fa207df457295d81914ba74a7cac6bbb","39879045746605001015296","48"
"0xcebb41ad35d998f8a0a1dc116d6a32b32a141ed4","876666666666666754048","49"
"0x76f3fedf7b5b250d23cc97765286eda2978ac732","1020000000000000131072","50"
"0x4815ee939fe2efec2f7bc415f0ce2282f6417fe9","2500000000000000000000","51"
"0x0d09b99fdfbe0e937e3daab4f50eed2d39cfff50","706666666666666754048","52"
"0xd6d5c94b4c6e27590d119c94a0ebc6595d02f11a","940000000000000000000","53"
"0x3fb7a7aaf5bca21e51c5e0895703243d8ed63104","570000000000000000000","54"
"0xb69d7f30ba4cdbcbd6656b4fe3e079e0954d59b3","833333333333333508096","55"
"0x0b473ea097339f4e4dc002a42b7a9430db0ba1aa","850000000000000000000","56"
"0x12afc6451f21feddeb1f732d6baa02684c258d9c","700000000000000000000","57"
"0xa6d9a105163fc67a61f0a4d1d5c4032a1e51501b","13903324047525334220800","58"
"0xcbfb60f6a39e9e5e79f48555de777b9aab19c99a","1006666666666666754048","59"
"0x20ebac3a9c15da063d42b10063ce7096c64c90b1","1033333333333333508096","60"
"0xcd56f58a5d46530f2067ee67d1e9a4dcd9b65e7f","756666666666666754048","61"
"0x4428c03d3bb54f4c7d74baa4c4252f69625a8cbc","583333333333333377024","62"
"0x9f59ce4eb19528db2b4ca0029724028f604cb1e6","1023333333333333377024","63"
"0x2d8fc37354796ef2500fe87b0593060251b8ba86","746666666666666754048","65"
"0xde698282e354705d609c0bc9067174160b3dd5e2","13093333333333334032384","66"
"0xd9a73d218ef8282260dc09a4556a05737e4b1b2b","750000000000000000000","64"
"0x0861df2e9a325d084409e433c5f7ce874def0111","1033333333333333508096","67"
"0xd24107f89b246cdf0489483c16ab25094a233521","773333333333333377024","68"
"0x914fe4a36a13f5c985184c9df4257ca86e37487a","1495000000000000000000","69"
"0xc43ffa24919cc00d1c3789f405668f19d580963f","1030000000000000000000","70"
"0x3214e141bdae08be1f382a885cf3d2a448a5e780","1250000000000000000000","71"
"0x30edbb3d1d389a746d128ac7cdc88d60bcfed1ea","720000000000000000000","72"
"0xff4b1c13a4f4eb28deb65d07b2a380849402a2a5","756666666666666754048","73"
"0x44a2b7301baaba60a4bea437cd782990464a3d37","846666666666666754048","74"
"0x63c1d4ce3f0ea0a37eda12376205e25d2298af3a","10000000000000000000000","75"
"0xe5451bf6b7f40955a52728b97207bcfcf015d757","1050000000000000000000","76"
"0x5aaacedf5a180e084d5ebac2e55ea484cf0d2780","13533333333333334032384","77"
"0x82df337f2c5c32c2e0653de8be7886a10a8f5ede","750000000000000131072","78"
"0xe2fa3e074b9a804cb082de23d78c51307a1fdf30","843333333333333377024","79"
"0xa28514338cec5488e388c36cd1ea254f6ad45a35","753333333333333377024","80"
"0xba28b4bdabedef7a9154b16387e7c456cf8184a3","703333333333333377024","81"
"0x75fe3943a6c8866e1c41e1f35c74a9fb7a77b835","13543333333333333508096","82"
"0x5a72848504ccef8473f80b602f7a3fe250b4f451","413333333333333377024","83"
"0x0f3c91dd4f416ab4d555da56bf83570cdcf796ac","2500000000000000000000","84"
"0x87ef4cdea43bc27fe3fa64e73c257a841cbc0381","653333333333333377024","85"
"0xc16be7b21b830105d9e04c2ea67ea3719f625a90","1030000000000000000000","87"
"0x9b872c93fa98b0cdeb43c594256c4565a425d8e7","726666666666666754048","86"
"0xa6e63f1f1305597171e093195a0e28de882da740","5099997769999999565824","89"
"0xd0b811b909affd5b7f3e1201d450da173796b7fb","673333333333333508096","88"
"0xaa2db9fea60bb48a74a4f417bc627016667e6a85","823333333333333377024","90"
"0x6ec7b4fec23015ed9daa8dbf0e3573da69e5d36e","5744275118333332815872","91"
"0x67918ba8ef203852c14d87f049378ea647516b11","12499999999999998951424","92"
"0xf98891ec45e6a6e94a8795257cad9f785bc6704e","93333333333333344256","93"
"0x33775c4e4785a6f6473bde2276aef7806aff8c3a","996666666666666754048","94"
"0x9c1dcb699e6af3ae59b7219e5ea7fef6d9fcf9c3","21029999999999998427136","95"
"0x81e63427b2336bca62555e655a66655e0dad4c67","2750000000000000000000","97"
"0xb483cd5bb2352136b48192ce2e47bedb61a0e016","193333333333333344256","96"
"0x014208c7c3c4fc25ca755567ee8864742329efb5","10000000000000000000000","98"
"0xa745fb542476c053fb12b92a432494bbae685ec0","916666666666666754048","99"
"0xa6a2d935363669ea08723798284bc3fcdc58f9cd","12499999999999998951424","100"
"0x72ac3ebb6b9d674fad43a26e1a0e61010ad5583d","300000035000000053248","101"
"0x0085d44ca01551495585fea5f92845121eb7337c","943333333333333377024","102"
